track,artist,danceability,energy,speechiness,valence
No Xmas for John Quays,The Fall,0.537,0.769,0.0527,0.408
Here 'Tis - live at the Montreux Jazz Festival,Dizzy Gillespie,0.548,0.321,0.0427,0.499
Midnight Flower,Four Tops,0.652,0.894,0.0575,0.961
I Should Have Known Better - 2006 Remastered Version,Wire,0.544,0.669,0.0358,0.482
Canto de Ossanha,Toquinho,0.475,0.364,0.033,0.392
Wigwam,Bob Dylan,0.407,0.47,0.037,0.227
Why Can't I Touch It?,Buzzcocks,0.601,0.766,0.0355,0.743
Do They Owe Us a Living?,Crass,0.34,0.946,0.255,0.84
I Live in a Car,U.K. Subs,0.249,0.775,0.0455,0.837
Candy's Going Bad,Golden Earring,0.397,0.732,0.0378,0.269
Do It To My Mind,Johnny Bristol,0.64,0.615,0.0575,0.885
Ten Et Tiwa Dorment,Alain Goraguer,0.407,0.112,0.038,0.0635
Basquette,Michel Legrand,0.41,0.494,0.0376,0.554
Just A Little Bit Of You,Michael Jackson,0.735,0.673,0.0343,0.919
Slug Bait - Live at Brighton; Remastered,Throbbing Gristle,0.399,0.102,0.0686,0.0658
Emotion,Helen Reddy,0.492,0.491,0.0301,0.666
Church,Bob Welch,0.648,0.452,0.0314,0.463
Go Ahead,Extra Ball,0.257,0.646,0.0431,0.601
We Are Neighbors,The Chi-lites,0.703,0.484,0.0318,0.906
Free Flute in Beat,Maria Teresa Luciani,0.577,0.588,0.035,0.822
Sexy,MFSB,0.652,0.791,0.0761,0.796
Don't Let It End ('til You Let It Begin),The Miracles,0.526,0.491,0.0308,0.524
Teenage Lament '74,Alice Cooper,0.303,0.623,0.0439,0.798
Speak Softly Love,Al Martino,0.302,0.272,0.0311,0.345
Second Length (Our Swimmer),Wire,0.485,0.919,0.0854,0.475
"The 4 ""F"" Blues",Johnny Paycheck,0.551,0.805,0.0742,0.804
Dime Quién Me Lo Robo,Sui Generis,0.368,0.176,0.0367,0.239
The Mist Covered Mountains of Home / The Orphan / The Tarboulton,John Renbourn,0.349,0.293,0.0352,0.631
Kick It Out,Heart,0.402,0.726,0.0459,0.674
Leo,John Coltrane,0.313,0.624,0.162,0.162
We're Gonna Have A Good Time,Rare Earth,0.717,0.704,0.0351,0.926
That's The Way I Want Our Love,Joe Simon,0.588,0.622,0.0429,0.724
Moonlight Lady,Gabby Pahinui,0.279,0.285,0.0345,0.36
Like An Open Door,The Fuzz,0.382,0.551,0.0352,0.852
Sparkle And Shine,The Clique,0.409,0.808,0.0422,0.81
Behind the Mask,YELLOW MAGIC ORCHESTRA,0.589,0.667,0.0294,0.71
Popcorn,Hot Butter,0.784,0.626,0.0572,0.952
The Girl from Salina - Variation 2,Christophe,0.137,0.46,0.0391,0.0927
Sleepwalker,The Kinks,0.478,0.533,0.033,0.652
Son Of Sagittarius,Eddie Kendricks,0.672,0.648,0.0282,0.895
Bombers ('79 Live Original Mix),Gary Numan,0.873,0.436,0.0565,0.945
Moments Of Joy,Kayak,0.373,0.742,0.0286,0.442
"The Man I Love: Oh, Lady, Be Good!",Arne Domnérus,0.638,0.128,0.059,0.254
I'm Sorry,John Denver,0.447,0.236,0.0313,0.527
You And Me,Cecilio & Kapono,0.579,0.3,0.0421,0.686
Jesus' Last Ballad,Bill Evans,0.279,0.0548,0.0344,0.0429
Montego Bay,Bobby Bloom,0.765,0.586,0.0367,0.943
Mikolo Mileki Mingi 1 & 2,Verckys & L'Orchestre Vévé,0.792,0.726,0.0899,0.909
Beginning To Feel The Pain,Mac Davis,0.426,0.422,0.0312,0.531
Belize,Wolfgang Ambros,0.469,0.312,0.0351,0.183
Pick It Up,999,0.344,0.709,0.0742,0.84
Dixie Breakdown,Mark O'Connor,0.339,0.529,0.0328,0.96
Cinderella,Firefall,0.558,0.542,0.0329,0.557
Papa Was A Rollin' Stone,The Temptations,0.817,0.405,0.0811,0.898
Dream Me Home,Mac Davis,0.546,0.41,0.0293,0.689
Liddle Towers,Angelic Upstarts,0.336,0.875,0.0912,0.0683
I'm Every Woman,Chaka Khan,0.394,0.921,0.141,0.519
Viaggio Con Anita: Viaggio Con Anita - Soundtrack,Ennio Morricone,0.404,0.264,0.0328,0.0899
Tension,Franco D'Andrea,0.408,0.095,0.0423,0.0478
It's Only Make Believe,Glen Campbell,0.397,0.541,0.0326,0.543
You'll Never Get To Heaven (If You Break My Heart),The Stylistics,0.546,0.632,0.0575,0.565
Soluços,Jards Macalé,0.4,0.618,0.0538,0.222
Some Of Them Are Old - 2004 Digital Remaster,Brian Eno,0.231,0.445,0.0316,0.077
Better Days,Melissa Manchester,0.275,0.432,0.0263,0.386
Pillow Talk,Sylvia (r&b),0.719,0.572,0.0356,0.676
"Assim Seja, Amém - Ao Vivo",MPB4,0.37,0.422,0.0836,0.306
Lovesick Blues,Charlie McCoy,0.559,0.444,0.0304,0.656
The Bird's Tale,Ennio Morricone,0.127,0.142,0.041,0.124
Don't Stop It Now,Hot Chocolate,0.692,0.645,0.0321,0.84
She's Not There,Santana,0.477,0.697,0.0387,0.832
Why Me,Styx,0.359,0.522,0.0584,0.712
Inside Out,999,0.57,0.604,0.0586,0.406
Nine Pound Hammer - Live,Norman Blake,0.41,0.679,0.0456,0.887
Desafinado,Gal Costa,0.768,0.213,0.0511,0.401
Love Will Find A Way,Pablo Cruise,0.78,0.491,0.0351,0.843
Año 1939,Billy Bond y La Pesada,0.333,0.44,0.033,0.382
"Gone, Gone, Gone",Bad Company,0.588,0.683,0.0398,0.596
Roses and Moonlight,Alan Moorhouse,0.374,0.126,0.0364,0.499
Pua Lililehua,Hui Ohana,0.594,0.216,0.0293,0.608
What Are You Doing Sunday,Dawn Featuring Tony Orlando,0.756,0.566,0.0769,0.917
Cuando Juegue el Albur,José Alfredo Jimenez,0.622,0.377,0.0361,0.856
Love Is Life,"Earth, Wind & Fire",0.353,0.492,0.032,0.606
Rockin' Chair,Gwen McCrae,0.592,0.785,0.0419,0.664
More Sekele Movement (Papa Ni Mama),Pasteur Lappe,0.777,0.793,0.064,0.841
Such A Night,Dr. John,0.829,0.248,0.169,0.786
Poptones,Public Image Ltd.,0.447,0.569,0.0318,0.338
How Much Love,Leo Sayer,0.731,0.918,0.0438,0.851
A Tonga Da Mironga Do Kabuletê,Toquinho,0.673,0.0326,0.0387,0.821
Ashes To Ashes,The 5th Dimension,0.559,0.509,0.0286,0.809
Runnin' With The Devil,Van Halen,0.472,0.9,0.0582,0.42
It's Only Love,ZZ Top,0.7,0.592,0.0681,0.906
High Tension,Gordon Giltrap,0.393,0.551,0.0398,0.434
All I Want to Know,U.K. Subs,0.434,0.728,0.0361,0.889
Make It With You,Bread,0.629,0.356,0.0246,0.472
Dilemma - Remastered,kalapana,0.493,0.311,0.0385,0.149
Levee Camp Blues (Live),Mississippi Fred McDowell,0.458,0.015,0.0577,0.247
Ballata per un pistolero II,Roberto Pregadio,0.109,0.408,0.0352,0.219
La Banda,Willie Colón,0.681,0.943,0.0632,0.904
Eu Nunca Mais,Teixeirinha,0.778,0.592,0.0309,0.916
Solea - En Vivo Desde El Teatro Real / 1975,Paco de Lucía,0.39,0.664,0.0642,0.358
Praying Time Will Soon Be Over,Elizabeth Cotten,0.581,0.0711,0.035,0.426
Lance legal,Guilherme Arantes,0.622,0.609,0.0292,0.743
Four,Philip Glass,0.29,0.0584,0.0337,0.0365
En el Bosque de las Interrogaciones,Aguaviva,0.313,0.765,0.124,0.382
Day After Day,Badfinger,0.397,0.687,0.0311,0.385
Delta Dawn,Helen Reddy,0.48,0.818,0.101,0.794
The Two Lonely People,Bill Evans,0.326,0.341,0.0367,0.141
Cherish,David Cassidy,0.502,0.279,0.0269,0.33
Boogie Child,Bee Gees,0.735,0.574,0.0764,0.869
This Is Love,Gene Rondo,0.616,0.656,0.246,0.655
You Make Me Feel Like Dancing,Leo Sayer,0.728,0.718,0.0501,0.733
H.a.p.p.y. Radio,Edwin Starr,0.806,0.784,0.0443,0.969
Doraville,Atlanta Rhythm Section,0.438,0.803,0.0363,0.5
Student Power,Angelic Upstarts,0.336,0.932,0.0654,0.558
La Pálida Ciudad,Billy Bond y La Pesada,0.541,0.934,0.15,0.459
Na Real Sekele Fo' Ya,Pasteur Lappe,0.787,0.592,0.0594,0.9
Feelin' Satisfied,Boston,0.502,0.72,0.0357,0.827
Não Te Quero Santa,Erasmo Carlos,0.326,0.462,0.0283,0.383
Since I Fell For You,Charlie Rich,0.397,0.425,0.0242,0.272
La Agonía,Lebrón Brothers,0.6,0.673,0.0391,0.908
You Belong To Me,Carly Simon,0.635,0.661,0.0471,0.857
Maggot Death - Live at Brighton; Remastered,Throbbing Gristle,0.339,0.742,0.402,0.416
Billy Is a Runaway,Iggy Pop,0.556,0.878,0.0833,0.904
En Estos Días,Silvio Rodríguez,0.497,0.0385,0.0493,0.7
New Rose,The Damned,0.191,0.969,0.1,0.265
Miss Broadway,Belle Epoque,0.851,0.366,0.0394,0.955
Lady Laura,Roberto Carlos,0.443,0.455,0.0647,0.677
Preta Pretinha,Novos Baianos,0.704,0.561,0.033,0.773
You Yesyesyes,The Residents,0.523,0.689,0.107,0.594
L'espoir,Eric Demarsan,0.155,0.226,0.0333,0.0744
Cotton Candy,The Sylvers,0.626,0.971,0.198,0.554
"Nightclubbing - Live From Uptown Theatre, Kansas City, MO / 1977",Iggy Pop,0.264,0.831,0.0574,0.334
Your Move (I've Seen All Good People),Yes,0.417,0.425,0.062,0.498
So In To You,Atlanta Rhythm Section,0.536,0.65,0.0328,0.762
Cançó Brindis,Esquirols,0.534,0.144,0.0698,0.433
That Same Old Feeling,The Fortunes,0.685,0.503,0.0296,0.827
"Jazzy, Suite No. 2 for Flute and Jazz Piano",Claude Bolling,0.509,0.396,0.0594,0.705
Canción de Mi América (Song of My America),Daniel Viglietti,0.604,0.106,0.067,0.39
Ai wa Maboroshi,Taeko Onuki,0.378,0.8,0.0353,0.699
Take Me Back To Chicago,Chicago,0.499,0.731,0.0379,0.767
Acuérdate de abril,Amaury Pérez,0.481,0.258,0.0399,0.28
Nervous Breakdown,Black Flag,0.401,0.907,0.0679,0.317
Hard Times - Remastered,kalapana,0.673,0.893,0.108,0.853
"Gothic Velvet (history, church atmosphere)",Deuter,0.0868,0.0322,0.0467,0.0295
It's Only Rock 'N Roll (But I Like It),The Rolling Stones,0.616,0.957,0.0508,0.778
Travelin' Shoes,Elvin Bishop,0.574,0.897,0.054,0.91
Eu Amo Você,Tim Maia,0.455,0.391,0.0342,0.41
Princesa Negra De Angola,Bebeto,0.637,0.791,0.11,0.744
Rasguña Las Piedras,Sui Generis,0.279,0.346,0.0444,0.309
Don't Take Away The Music,Tavares,0.722,0.858,0.0472,0.925
"Together (strange loneliness, change into melodic far eastern scene)",Deuter,0.478,0.441,0.0405,0.0629
This Old Heart Of Mine,Rod Stewart,0.676,0.852,0.0364,0.697
Rainbows of Life - (Bonus Version) (Remastered),Steven Halpern,0.0829,0.0169,0.0447,0.0338
Lonesome Loser,Little River Band,0.466,0.548,0.0252,0.439
Serenade,Claude Bolling,0.281,0.443,0.0424,0.669
Fearing much,Stefano Torossi,0.361,0.768,0.0474,0.582
Fooled By A Feeling,Barbara Mandrell,0.682,0.583,0.0352,0.705
Outa-Space,Billy Preston,0.715,0.827,0.0369,0.901
Stop To Start,Blue Magic,0.435,0.385,0.0385,0.316
I Just Can't Help Believing,B.J. Thomas,0.716,0.548,0.0307,0.677
"It May Be Winter Outside, (But In My Heart It's Spring)",Love Unlimited,0.511,0.504,0.0528,0.485
Kong,Dickie Goodman,0.675,0.72,0.433,0.672
Tio Alberto,Joan Manuel Serrat,0.442,0.37,0.032,0.645
Einstein on the Beach: Trial - Prison,Philip Glass,0.254,0.103,0.0461,0.383
"Volver, Volver",Maria Dolores Pradera,0.599,0.0589,0.0633,0.37
If It's Real What I Feel,Jerry Butler Featuring Brenda Lee Eager,0.518,0.784,0.125,0.925
Yellow River,Christie,0.627,0.544,0.029,0.877
Love Or Something Like It,Kenny Rogers,0.842,0.65,0.0385,0.887
The Jungle,Black Heat,0.521,0.686,0.0638,0.724
Our World,Blue Mink,0.351,0.802,0.118,0.61
Let Your Love Go,Bread,0.663,0.848,0.0439,0.743
How Can I Be Sure,David Cassidy,0.309,0.415,0.0342,0.238
Convoy,C.W. McCall,0.68,0.543,0.141,0.796
Tudo O Que Você Podia Ser,Milton Nascimento,0.457,0.482,0.0286,0.787
Free Spirit,Atlanta Rhythm Section,0.666,0.648,0.0288,0.742
At Midnight,T-Connection,0.822,0.865,0.0834,0.904
Fe,Lebrón Brothers,0.585,0.596,0.0326,0.945
No More Mr. Nice Guy,Alice Cooper,0.498,0.515,0.0395,0.616
Blues for Freddie K.,PeeWee Bluesgang,0.376,0.584,0.127,0.575
Clean Up Woman,Betty Wright,0.865,0.652,0.143,0.829
Prima della rivelazione - Pt.2,Ennio Morricone,0.243,0.0822,0.0336,0.0367
Walking Blues,Das Dritte Ohr,0.59,0.416,0.316,0.905
The Well-Tuned Marimba,Catherine Christer Hennix,0.298,0.302,0.0359,0.0314
You've Made Me So Very Happy,Lou Rawls,0.387,0.531,0.0311,0.506
There It Is,Tyrone Davis,0.733,0.533,0.0377,0.8
Devil You,Stampeders,0.538,0.806,0.0798,0.939
Hi Ho'alu,Gabby Pahinui,0.572,0.389,0.0513,0.337
Entendimiento - Solea,Carmen Linares,0.534,0.457,0.0787,0.452
Pastoral,Gordon Giltrap,0.355,0.325,0.0284,0.282
You Got The Love,Rufus Featuring Chaka Khan,0.572,0.758,0.116,0.92
Kalimba,Taj Mahal,0.523,0.459,0.262,0.399
Manhãs de setembro,Vanusa,0.397,0.598,0.0302,0.409
No Talking - Slow Version,R. Stevie Moore,0.472,0.0985,0.0735,0.416
In The Pool,Pino Donaggio,0.382,0.116,0.0403,0.0893
You Can't Change That,Raydio,0.691,0.706,0.115,0.892
O-H-I-O,Ohio Players,0.825,0.708,0.0677,0.967
Tell Mama,Savoy Brown,0.527,0.687,0.0541,0.672
Zapateado - En Vivo Desde El Teatro Real / 1975,Paco de Lucía,0.302,0.539,0.0405,0.467
Apertura della Caccia,Ennio Morricone,0.0675,0.138,0.0363,0.0347
The Brain Of The Purple Mountain,Leo Kottke,0.338,0.261,0.042,0.443
A Pesar de Todo,Vicente Fernández,0.546,0.385,0.0279,0.392
Always And Forever,Heatwave,0.338,0.175,0.0319,0.201
"Bad, Bad Leroy Brown",Jim Croce,0.674,0.795,0.0424,0.876
Billy Barlow,Mike Seeger,0.475,0.113,0.0437,0.435
Got To Get You Into My Life,The Beatles,0.521,0.524,0.0302,0.711
Song From M*A*S*H,Al DeLory,0.709,0.445,0.0406,0.8
De Qué Manera Te Olvido,Vicente Fernández,0.496,0.451,0.0278,0.455
What Is All About - Live,Guy Lafitte,0.497,0.831,0.0671,0.726
Boba Boogie Woogie,Jazz Band Ball Orchestra,0.512,0.38,0.041,0.82
(They Long To Be) Close To You,Jerry Butler & Brenda Lee Eager,0.441,0.202,0.0366,0.326
Summer (The First Time),Bobby Goldsboro,0.268,0.344,0.0454,0.429
Desembarque,Ednardo,0.49,0.305,0.0359,0.244
É Melhor Parar,Reginaldo Rossi,0.599,0.663,0.026,0.779
I Love All the Girls,R. Stevie Moore,0.6,0.326,0.0303,0.606
Thank You Girl,Street People,0.743,0.608,0.0595,0.944
Doo Doo Doo Doo Doo (heartbreaker),The Rolling Stones,0.439,0.827,0.0335,0.54
Another Star,Stevie Wonder,0.57,0.844,0.0492,0.767
Honesty,Billy Joel,0.552,0.265,0.0332,0.212
Close Enough For Jazz,Jan Garbarek,0.162,0.0349,0.0498,0.0348
(I Believe) There's Nothing Stronger Than Our Love,Paul Anka/Odia Coates,0.584,0.791,0.0453,0.782
My Heart Stood Still,Bill Evans,0.494,0.362,0.0409,0.553
Angel Play,Iasos,0.13,0.223,0.0665,0.0371
Could It Be Magic,Donna Summer,0.611,0.5,0.0278,0.512
Mu`olaulani,The Brothers Cazimero,0.272,0.073,0.0482,0.123
Special Rider Blues,John Fahey,0.5,0.255,0.042,0.523
Long Distance Call,Luther Johnson,0.676,0.259,0.0742,0.606
I Feel Love,Donna Summer,0.692,0.79,0.0416,0.96
Ponta De Areia,Milton Nascimento,0.332,0.389,0.0353,0.27
"Caracas Night September 11, 1975",Jon Hassell,0.225,0.0338,0.0479,0.593
"Wonderful World, Beautiful People",Jimmy Cliff,0.782,0.386,0.0302,0.904
Hang On To Your Life,The Guess Who,0.414,0.537,0.0519,0.387
Behind the Mask,YELLOW MAGIC ORCHESTRA,0.595,0.723,0.0302,0.672
Mr. Jackson's Hat,Will Ackerman,0.268,0.00596,0.0628,0.0977
La Partida,Victor Jara,0.699,0.596,0.163,0.675
Old Style Blues,Enrico Simonetti,0.41,0.0654,0.0442,0.135
Will You Still Love Me Tomorrow,Dave Mason,0.466,0.537,0.025,0.42
Space time,Enrico Pieranunzi,0.364,0.204,0.0349,0.0367
I Just Want To Be Your Everything,Andy Gibb,0.651,0.648,0.0346,0.868
Love Battery - 1996 Remastered Version,Buzzcocks,0.156,0.847,0.0704,0.565
Oprobio,El Gran Combo De Puerto Rico,0.74,0.685,0.0399,0.964
All The Young Dudes,Mott The Hoople,0.429,0.668,0.044,0.398
Here Comes The Night,The Beach Boys,0.657,0.479,0.0323,0.278
Out of Reach,999,0.502,0.861,0.0845,0.744
Heavy Makes You Happy (Sha-Na-Boom Boom),The Staple Singers,0.668,0.675,0.0317,0.966
Count On Me,Jefferson Starship,0.552,0.325,0.0284,0.736
Dance And Shake Your Tambourine,Universal Robot Band,0.753,0.682,0.0424,0.445
Blues Etude - Live,Oscar Peterson,0.266,0.573,0.0626,0.756
Annie: I Think I'm Gonna Like It Here,Charles Strouse,0.711,0.327,0.0778,0.77
If You Know What I Mean,Neil Diamond,0.387,0.336,0.0287,0.416
Don't Do It,The Band,0.468,0.888,0.0854,0.83
Triangle Of Love (Hey Diddle Diddle),The Presidents,0.39,0.79,0.108,0.781
Here's That Rainy Day,Freddie Hubbard,0.427,0.0464,0.0439,0.169
You're The Best Thing That Ever Happened To Me,Ray Price,0.418,0.263,0.0287,0.44
Lola,Krisma,0.592,0.6,0.0343,0.491
It's Up To You Petula,Edison Lighthouse,0.535,0.76,0.0462,0.81
Si Acaso Vuelves,Vicente Fernández,0.574,0.408,0.0332,0.495
We Don't Talk Anymore,Cliff Richard,0.713,0.569,0.0298,0.648
Rasta Children,Dennis Brown,0.806,0.677,0.109,0.969
Walk On The Wild Side,Lou Reed,0.575,0.318,0.109,0.385
Gago Apaixonado,MPB4,0.651,0.691,0.116,0.808
Brandy,The O'Jays,0.626,0.42,0.0408,0.443
Resumen de Noticias,Silvio Rodríguez,0.559,0.221,0.286,0.222
Superfly,Curtis Mayfield,0.784,0.708,0.11,0.749
Nicollette,Keith Nichols,0.638,0.268,0.0392,0.575
Shake It,Ian Matthews,0.792,0.486,0.0284,0.848
Cuando Te Vea,Bobby Valentin,0.682,0.753,0.0414,0.961
Tong Poo - 2018 Bob Ludwig Remastering,YELLOW MAGIC ORCHESTRA,0.668,0.697,0.0318,0.711
Misty Blue,Joe Simon,0.234,0.41,0.028,0.211
Enfado,Armando Trovajoli,0.67,0.426,0.0491,0.712
Aguas De Marco,Antônio Carlos Jobim,0.71,0.404,0.0382,0.957
I'm Still Waiting,Diana Ross,0.357,0.608,0.0438,0.538
Parlor Songs,Stephen Sondheim,0.512,0.391,0.606,0.422
Caprice,Claude Bolling,0.424,0.242,0.0488,0.223
Someone Else's Blues,David Bromberg,0.61,0.336,0.0534,0.315
Warm Ride,Rare Earth,0.686,0.769,0.0348,0.875
Hit The Road Jack,Stampeders,0.592,0.61,0.168,0.632
You've Lost That Lovin' Feelin',Roberta Flack & Donny Hathaway,0.485,0.343,0.0534,0.314
Ragas Piloo Dhoon,Kalyani Roy,0.423,0.367,0.0336,0.293
"You're Welcome, Stop On By",Bobby Womack,0.58,0.691,0.0317,0.832
Diary,Bread,0.364,0.126,0.0286,0.43
Might Just Take Your Life,Deep Purple,0.601,0.774,0.0299,0.586
Sonho de um Vagabundo (Lei do Sonho de um Vagabundo),Casa Das Máquinas,0.434,0.419,0.032,0.366
Josie,Peter Maffay,0.483,0.429,0.0314,0.558
Sweet Home Alabama,Lynyrd Skynyrd,0.596,0.605,0.0255,0.886
"Hengelo, Almelo, Deventer",Extra Ball,0.419,0.529,0.0537,0.64
"The Sly, Slick, And The Wicked",The Lost Generation,0.428,0.667,0.071,0.646
Sunshine,Pholhas,0.372,0.681,0.0417,0.524
T.T.T. (Twelve Tone Tune),Bill Evans,0.391,0.392,0.0307,0.439
Watch Out - Remastered,Vangelis,0.323,0.471,0.0335,0.133
La ragazza che non volta il viso: ritorno ad un sogno (Reprise),Tito Schipa Jr.,0.402,0.594,0.0387,0.657
Dueling Banjos,Eric Weissberg,0.417,0.484,0.0791,0.501
Sunday Morning Coming Down,Johnny Cash,0.392,0.472,0.0257,0.808
Lenda Nagô,Agepê,0.49,0.482,0.0586,0.75
Lord Have Mercy,John Fahey,0.662,0.451,0.03,0.778
Spiral,Vangelis,0.288,0.487,0.0472,0.0622
Call On Me,Chicago,0.596,0.796,0.0644,0.886
But Beautiful,Stan Getz,0.499,0.0539,0.0396,0.324
Fifi,Verckys & L'Orchestre Vévé,0.62,0.571,0.103,0.925
Beco do Mota - Ao Vivo,MPB4,0.362,0.597,0.074,0.371
Paniolo Country,Melveen Leed,0.532,0.487,0.0397,0.621
Go All The Way,Raspberries,0.305,0.849,0.0999,0.555
Tell Her She's Lovely,El Chicano,0.55,0.603,0.0319,0.904
Smokin' Room,Carl Carlton,0.672,0.832,0.0714,0.725
How Deep Is Your Love,Bee Gees,0.633,0.357,0.0264,0.674
We'll Have It Made,The Spinners,0.507,0.621,0.0333,0.765
One Red Rose That I Mean,Captain Beefheart & His Magic Band,0.658,0.165,0.0645,0.698
"Synthi Effect (spaceship, orbit)",Deuter,0.142,0.52,0.0495,0.0173
Same Old Man,Karen Dalton,0.47,0.433,0.0293,0.316
Pua Lili Lehua,Keola Beamer,0.606,0.0511,0.0454,0.197
Retrato Em Branco E Preto,Elis Regina,0.325,0.176,0.0365,0.179
Y Nada Más,Silvio Rodríguez,0.558,0.124,0.0359,0.243
Strange Place Blues,Bukka White,0.652,0.269,0.0568,0.362
Einstein on the Beach: Knee Play 3,Philip Glass,0.436,0.319,0.0716,0.136
My Old School,Steely Dan,0.723,0.647,0.0567,0.96
You Got To Be The One,The Chi-lites,0.652,0.675,0.0468,0.976
Playgirl '70 - Party Music 5,Piero Piccioni,0.592,0.405,0.0359,0.736
Sai do Sereno,Gilberto Gil,0.487,0.799,0.0856,0.566
1 of the 2,The Damned,0.267,0.937,0.0674,0.437
Tagwache,Wolfgang Ambros,0.503,0.607,0.0301,0.733
Climb The Line,Cecilio & Kapono,0.491,0.755,0.0311,0.865
Blues In My Heart,Hubert Sumlin,0.517,0.128,0.0491,0.233
Go Down Gamblin',"Blood, Sweat & Tears",0.417,0.792,0.0678,0.632
Talk to Your Daughter,J.B. Lenoir,0.82,0.55,0.0464,0.63
In The Water,Pino Donaggio,0.0911,0.175,0.0378,0.0403
I Miss You,The Dells,0.667,0.49,0.0323,0.811
Ricordo del sud America,Arawak,0.684,0.17,0.0425,0.946
Never My Love,The 5th Dimension,0.319,0.453,0.0289,0.247
Teenage Warning,Angelic Upstarts,0.19,0.963,0.148,0.296
Lovely Day,Bill Withers,0.69,0.651,0.0324,0.706
Vadana,Collin Walcott,0.471,0.0647,0.053,0.148
Sad Sad Day,Muddy Waters,0.362,0.641,0.0421,0.57
Show You The Way To Go,The Jacksons,0.663,0.615,0.0323,0.671
If Not You,Dr. Hook,0.411,0.248,0.0349,0.349
Meditations/Leo - Concert In Japan,John Coltrane,0.409,0.615,0.0829,0.683
In A Persian Market - Instrumental,John Fahey,0.412,0.376,0.0337,0.397
I'm on Heat,The Lurkers,0.256,0.961,0.0903,0.439
Sky Dive,Freddie Hubbard,0.458,0.388,0.0323,0.627
Midnight Cowboy,Ferrante & Teicher,0.275,0.5,0.0299,0.288
Tight Rope,Leon Russell,0.736,0.3,0.0759,0.732
Change Partners,Stephen Stills,0.363,0.638,0.0508,0.505
No,Bulldog,0.354,0.835,0.0464,0.864
Oh Sweet Africa,Gene Rondo,0.837,0.46,0.192,0.583
You're A Big Girl Now,The Stylistics,0.315,0.634,0.0406,0.472
Band Of Gold,Freda Payne,0.631,0.746,0.0277,0.93
Stealer,Free,0.344,0.57,0.0447,0.746
Concerto For Violin And Orchestra: 3. = Ca. 150 - Coda: Poco meno = 104,Philip Glass,0.227,0.254,0.0433,0.0647
I'm A Root Man,Big John Wrencher,0.661,0.64,0.039,0.719
We Can Work It Out,Stevie Wonder,0.608,0.534,0.0339,0.796
Energy Vibrations,Johnny Pearson,0.596,0.439,0.0328,0.626
Logaritmo in do,Maria Teresa Luciani,0.387,0.717,0.0277,0.692
Le massage des doigts - feat. Anne Germain,Michel Legrand,0.563,0.564,0.0746,0.841
Be What You Are,The Staple Singers,0.675,0.548,0.0317,0.79
You Light Up My Life,Debby Boone,0.333,0.367,0.0291,0.0685
Venus,The Shocking Blue,0.691,0.762,0.0367,0.957
Dirty White Boy,Foreigner,0.617,0.768,0.0628,0.67
Rescue Me,Melissa Manchester,0.776,0.867,0.0279,0.975
Générique,Alain Goraguer,0.586,0.288,0.0334,0.616
TUSK,Fleetwood Mac,0.628,0.779,0.0831,0.936
Rock Me Baby,David Cassidy,0.601,0.843,0.0544,0.803
Up in Flames,Wipers,0.398,0.988,0.134,0.515
Rock Me,Muddy Waters,0.375,0.689,0.0971,0.613
Young Blood,Bad Company,0.682,0.701,0.045,0.896
Sweet Miss Bea,Billy Boy Arnold,0.633,0.703,0.15,0.769
When the Morning Comes,kalapana,0.423,0.761,0.0731,0.918
Forever Lovers,Mac Davis,0.518,0.499,0.0345,0.518
Déjame En Paz,Johnny Colon,0.646,0.674,0.047,0.89
Limehouse Blues,Arne Domnérus,0.62,0.291,0.11,0.682
99 Miles From L.a.,Albert Hammond,0.438,0.256,0.029,0.123
Vado Via,Drupi,0.252,0.443,0.0295,0.18
Christmas For Cowboys,John Denver,0.441,0.161,0.0593,0.402
Simoon,YELLOW MAGIC ORCHESTRA,0.511,0.81,0.236,0.683
Rêves secrets d'un prince et d'une princesse,Michel Legrand,0.258,0.318,0.0312,0.339
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,0.371,0.507,0.0325,0.535
Daughter Of Darkness,Tom Jones,0.439,0.567,0.03,0.402
I saw a maiden,Traditional,0.243,0.0554,0.0418,0.205
Love Music,The Raiders,0.659,0.758,0.0447,0.968
Day Of Judgement,Hugh Mundell,0.768,0.507,0.212,0.769
He Made A Woman Out Of Me,Bobbie Gentry,0.58,0.347,0.0428,0.825
I'm Her Fool,Billy Swan,0.662,0.621,0.044,0.962
Avenging Annie,Andy Pratt,0.435,0.802,0.0792,0.842
A Little Night Music: Send in the Clowns,Stephen Sondheim,0.255,0.0415,0.0386,0.168
Waterloo,ABBA,0.441,0.926,0.046,0.779
Croma,Alphataurus,0.214,0.663,0.0308,0.137
Breaking Up Is Hard To Do,Neil Sedaka,0.743,0.799,0.0375,0.965
Hobbies Galore,R. Stevie Moore,0.382,0.0539,0.0409,0.216
Look Into Your Heart,Aretha Franklin,0.719,0.317,0.0416,0.585
Love Is Gonna Come At Last,Badfinger,0.62,0.633,0.0446,0.805
Luther's Blues,Luther Johnson,0.569,0.527,0.0298,0.489
It Doesn't Matter,Stephen Stills,0.673,0.767,0.0423,0.536
Fooled Around And Fell In Love,Elvin Bishop,0.633,0.621,0.0313,0.593
Livin' Thing,Electric Light Orchestra,0.549,0.651,0.0323,0.368
Schaffnerlos - Live,Wolfgang Ambros,0.55,0.218,0.0484,0.258
